                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     43,                0.67071,                0.96911,                0.60773,                 1.1285,                0.94653,                0.96262,                0.98785,                0.83373,                0.91896,                0.93458,                 0.9653,                0.82626,                0.63705,                 0.9206,                0.48127,                 1.2431,              0.0011684,              0.0011684,              0.0011684
                     44,                0.58759,                0.87453,                0.54001,                 1.1038,                 0.9678,                0.96262,                0.98198,                0.82918,                0.94901,                0.94393,                0.96064,                0.83793,                0.63101,                0.88824,                0.48417,                  1.211,              0.0011486,              0.0011486,              0.0011486
                     45,                0.59876,                0.87012,                0.52985,                 1.0906,                0.95368,                 0.9621,                0.98822,                0.83521,                0.96546,                0.90654,                0.96074,                0.82166,                0.63151,                  1.015,                0.44131,                 1.2366,              0.0011288,              0.0011288,              0.0011288
                     46,                0.59826,                0.88329,                0.53452,                 1.0933,                 0.9901,                0.93495,                0.98999,                0.85863,                0.99007,                0.92523,                0.96986,                0.84259,                0.58842,                0.93995,                0.46022,                 1.1699,               0.001109,               0.001109,               0.001109
                     47,                0.58975,                0.83065,                0.52188,                 1.0989,                 0.9874,                0.97196,                 0.9933,                0.85424,                0.98074,                 0.9517,                0.97967,                0.86435,                0.56814,                0.80086,                0.41641,                 1.1508,              0.0010892,              0.0010892,              0.0010892
                     48,                0.54951,                0.77344,                0.48675,                 1.0832,                0.98113,                0.97183,                0.99322,                 0.8419,                0.98032,                 0.9309,                0.96638,                0.86563,                0.58017,                0.88633,                0.40042,                 1.1961,              0.0010694,              0.0010694,              0.0010694
                     49,                   0.57,                0.81752,                0.50143,                 1.0714,                      1,                0.95824,                0.99207,                0.85621,                0.98047,                0.93858,                0.97199,                0.86024,                0.57458,                0.97582,                 0.4262,                 1.1759,              0.0010496,              0.0010496,              0.0010496
                     50,                0.59363,                0.90744,                0.53103,                  1.091,                0.97936,                0.99065,                0.99368,                0.87292,                0.96076,                0.97196,                 0.9799,                0.88175,                0.53382,                0.91566,                0.38891,                 1.1315,              0.0010298,              0.0010298,              0.0010298
                     51,                0.60085,                0.88952,                0.54302,                 1.1125,                0.99035,                0.95934,                0.99246,                0.86347,                0.94344,                0.95327,                0.96443,                0.86535,                0.55665,                0.98249,                0.39347,                 1.1712,                0.00101,                0.00101,                0.00101
                     52,                 0.5647,                0.85352,                0.50537,                 1.0697,                0.92661,                0.98131,                0.98918,                0.86181,                 0.9044,                0.95327,                0.96057,                0.85302,                0.56853,                0.94148,                0.39613,                 1.1618,              0.0009902,              0.0009902,              0.0009902
                     53,                0.56758,                0.81988,                0.49982,                 1.0604,                0.97981,                0.96262,                0.99109,                 0.8676,                0.96071,                0.94393,                0.96222,                0.85884,                0.56034,                0.96039,                0.40647,                 1.1708,              0.0009704,              0.0009704,              0.0009704
                     54,                0.57709,                0.79052,                0.50383,                 1.0787,                0.98863,                0.95327,                0.99109,                0.86027,                0.96918,                0.93458,                0.95084,                0.85384,                0.59212,                 1.0049,                 0.4057,                 1.1734,              0.0009506,              0.0009506,              0.0009506
                     55,                0.54891,                0.76475,                0.50142,                 1.0521,                0.97004,                0.98131,                0.99309,                0.84671,                0.96167,                0.93784,                0.94999,                0.84748,                0.55858,                 1.0655,                  0.403,                 1.1777,              0.0009308,              0.0009308,              0.0009308
                     56,                0.54744,                0.81768,                0.49657,                 1.0566,                0.92611,                0.98131,                0.98927,                 0.8589,                0.92676,                0.94393,                0.96599,                0.86094,                0.54104,                0.88917,                 0.4301,                  1.162,               0.000911,               0.000911,               0.000911
                     57,                 0.5476,                0.79761,                0.47797,                 1.0723,                0.98109,                0.96955,                0.99344,                0.85322,                0.98033,                0.92523,                0.96783,                0.85597,                 0.5767,                0.87208,                 0.4071,                 1.1684,              0.0008912,              0.0008912,              0.0008912
                     58,                 0.5725,                0.86394,                0.50534,                 1.0607,                      1,                 0.9528,                0.99209,                0.85346,                0.98056,                0.94278,                0.97343,                0.86658,                0.58133,                0.79873,                0.39423,                 1.2037,              0.0008714,              0.0008714,              0.0008714
                     59,                0.53878,                 0.7988,                0.47688,                 1.0479,                0.99016,                0.94044,                0.99215,                 0.8598,                0.97048,                0.92175,                0.96986,                0.85685,                0.54477,                0.89379,                0.43628,                 1.1347,              0.0008516,              0.0008516,              0.0008516
                     60,                0.53446,                0.78137,                 0.4817,                 1.0395,                0.99034,                 0.9579,                0.99256,                 0.8664,                0.98072,                0.95095,                0.96461,                0.86598,                0.54684,                0.97716,                0.41734,                  1.152,              0.0008318,              0.0008318,              0.0008318
                     61,                0.52718,                0.80318,                0.47334,                 1.0406,                      1,                  0.961,                0.99255,                0.87288,                0.98055,                0.94231,                0.97067,                0.86858,                0.51821,                0.82702,                0.39637,                 1.1465,               0.000812,               0.000812,               0.000812
                     62,                0.52049,                0.74756,                0.45127,                 1.0385,                 0.9786,                0.97196,                0.98971,                0.86948,                0.95032,                0.94393,                0.96099,                0.86827,                0.52819,                0.79386,                0.37819,                 1.1421,              0.0007922,              0.0007922,              0.0007922
                     63,                0.50463,                0.79012,                 0.4688,                 1.0436,                0.98052,                0.97196,                0.99296,                0.87119,                 0.9804,                0.93477,                0.96812,                0.86333,                0.52996,                 0.9433,                 0.3666,                  1.153,              0.0007724,              0.0007724,              0.0007724
                     64,                0.50494,                 0.7458,                0.45631,                 1.0511,                0.96347,                0.98608,                0.99379,                0.87017,                0.94521,                0.96739,                0.98039,                0.87039,                0.52209,                0.88352,                0.36066,                 1.1313,              0.0007526,              0.0007526,              0.0007526
                     65,                0.50826,                0.81112,                0.45807,                 1.0305,                0.95212,                0.98131,                0.98982,                0.87861,                0.92773,                0.95985,                0.96627,                0.86374,                 0.4814,                0.81354,                 0.3782,                 1.0874,              0.0007328,              0.0007328,              0.0007328
                     66,                0.49491,                0.76406,                0.45389,                 1.0291,                0.97062,                0.92617,                0.98571,                0.87363,                0.96236,                0.91589,                0.97192,                0.87968,                0.50443,                0.82142,                 0.3817,                 1.1157,               0.000713,               0.000713,               0.000713
                     67,                0.49379,                0.75778,                0.45322,                 1.0335,                 0.9805,                0.96262,                0.99261,                0.85556,                0.97894,                0.95327,                0.97613,                0.87692,                0.54374,                0.88461,                 0.3898,                 1.1541,              0.0006932,              0.0006932,              0.0006932
                     68,                 0.4692,                0.72332,                0.42217,                 1.0064,                0.96089,                0.97196,                0.99055,                0.87201,                0.97055,                0.92523,                0.96483,                0.86532,                0.54211,                0.84879,                0.38654,                 1.1415,              0.0006734,              0.0006734,              0.0006734
                     69,                0.49109,                0.74917,                0.44879,                  1.032,                0.97229,                0.98379,                0.99341,                0.88184,                0.97927,                0.93458,                0.97766,                 0.8649,                0.49007,                0.83602,                0.36419,                 1.1107,              0.0006536,              0.0006536,              0.0006536
                     70,                0.46244,                0.70358,                0.41235,                 1.0049,                0.97243,                 0.9891,                0.99171,                0.88729,                0.96172,                0.93925,                0.96099,                 0.8627,                0.50119,                0.87563,                0.36877,                 1.1278,              0.0006338,              0.0006338,              0.0006338
                     71,                0.47556,                0.74453,                0.42224,                   1.02,                0.98106,                0.96812,                0.98905,                0.89716,                0.96212,                 0.9496,                0.97131,                0.87613,                0.48617,                0.79089,                0.37654,                 1.0904,               0.000614,               0.000614,               0.000614
                     72,                0.46157,                 0.7281,                0.43195,                 1.0007,                0.98427,                0.96262,                 0.9905,                0.88895,                0.97472,                0.95327,                0.98023,                0.88423,                0.48715,                0.75628,                0.35647,                 1.1057,              0.0005942,              0.0005942,              0.0005942
                     73,                 0.4203,                0.72613,                0.39342,                0.97795,                0.99036,                0.98131,                0.99166,                0.88469,                0.98088,                0.97196,                0.98265,                0.88402,                0.50209,                0.78741,                0.35107,                 1.1346,              0.0005744,              0.0005744,              0.0005744
                     74,                0.45934,                0.72299,                0.43154,                  1.008,                0.97214,                0.97847,                0.98752,                0.87541,                0.96286,                0.96912,                0.97857,                0.88403,                0.50918,                0.86405,                0.35298,                 1.1491,              0.0005546,              0.0005546,              0.0005546
                     75,                0.46299,                0.70963,                0.41865,                  1.026,                0.97946,                0.96262,                0.98731,                0.87327,                0.96996,                0.95327,                0.97699,                0.87639,                0.51026,                0.80209,                 0.3779,                 1.1253,              0.0005348,              0.0005348,              0.0005348
                     76,                0.45018,                0.68151,                0.39778,                 0.9997,                0.99046,                0.96986,                 0.9911,                0.87636,                0.98091,                0.96051,                0.98903,                0.88385,                0.50214,                0.75984,                0.36186,                 1.1206,               0.000515,               0.000515,               0.000515
                     77,                0.43867,                0.66531,                0.38744,                  1.002,                0.98471,                0.96262,                0.99185,                0.87456,                0.97455,                0.95327,                0.98988,                0.88961,                 0.5166,                0.75645,                0.36525,                 1.1364,              0.0004952,              0.0004952,              0.0004952
                     78,                0.44452,                0.67037,                0.38856,                0.98652,                0.98028,                0.96262,                0.99168,                0.86657,                0.93342,                0.96262,                0.97609,                 0.8779,                0.50459,                0.79915,                0.33851,                 1.1508,              0.0004754,              0.0004754,              0.0004754
                     79,                0.45165,                0.70321,                0.39025,                  1.008,                0.96216,                0.98131,                0.98898,                0.87833,                0.93464,                0.95327,                 0.9693,                0.88614,                0.47111,                0.83326,                0.34334,                  1.109,              0.0004556,              0.0004556,              0.0004556
                     80,                0.41274,                0.66621,                0.37262,                0.97758,                0.97793,                0.95327,                0.98785,                0.88841,                0.97391,                0.92523,                0.97071,                0.88858,                0.47271,                0.81981,                0.33562,                 1.0997,              0.0004358,              0.0004358,              0.0004358
                     81,                0.43565,                 0.6543,                0.38045,                0.99537,                0.99025,                0.94971,                0.98785,                0.89864,                0.97649,                0.93458,                0.97814,                0.87726,                0.46317,                0.82903,                0.33319,                 1.0905,               0.000416,               0.000416,               0.000416
                     82,                0.40948,                0.65834,                0.36043,                0.96419,                0.98922,                0.97196,                0.99112,                0.88861,                0.96068,                0.94393,                0.97488,                0.88353,                0.47919,                0.83126,                0.33484,                 1.1117,              0.0003962,              0.0003962,              0.0003962
                     83,                0.43822,                0.67427,                 0.3839,                 0.9926,                0.98663,                0.97196,                0.98547,                0.88415,                0.96156,                0.93511,                0.96478,                0.87855,                0.46141,                0.86216,                0.35958,                 1.1162,              0.0003764,              0.0003764,              0.0003764
